unified_id,platform,source_category,vector_hint,text_clean,label
UID032942,YouTube,judi_online_pinjol,judi_online_pinjol,terus kemaren yang di jogja bisa ngakalin situs judol biar bandar rugi itu gimana?,judi_online_pinjol
UID031643,YouTube,judi_online_pinjol,judi_online_pinjol,"setuju saya bang karena sekarang mangkin maraknya judol,dan manyasar para mangsanya awalnya di kasih menang dan akhirnya di kasih kekalahan bang, karena saya dulu nya korban jodol bang sekarang sudah tidak lagi karena sudah tau kalo judol itu setingan dari bandar..",judi_online_pinjol
UID044711,YouTube,judi_online_pinjol,judi_online_pinjol,jangan judol jangan pula jadi bandar.,judi_online_pinjol
UID004921,YouTube,penipuan_ewallet_qris,malware_apk,"kalo filing gw sih ini ibu install apk yg aneh2. ibu ini kan bilang baru beberapa bulan pake mobile banking bca, bisa diartikan baru pertama pake mobile banking gini.",malware_apk
UID028559,YouTube,phishing_rekayasa_sosial,phishing_rekayasa_sosial,"banyak masyarakat yg belum paham dan mengerti akan modus penipuan soceng, melalui media youtube bri benar2 mengedukasi masyarakat. terima kasih bri...",phishing_rekayasa_sosial
UID032871,YouTube,judi_online_pinjol,judi_online_pinjol,mana nih seles slot ga ada komen?,judi_online_pinjol
UID033692,YouTube,judi_online_pinjol,judi_online_pinjol,"saya pernah dapet 20jta, tpi d togel.. dan skrng udh habis, gk punya apa2.. [EMOSI_SEDIH] [EMOSI_SEDIH] [EMOSI_SEDIH]",judi_online_pinjol
UID000891,X,judi_online_pinjol,judi_online_pinjol,"pusing kepikiran bayar tagihan spaylater spinjam indodana kredivo kredit pintar julo dan pinjol legal lainnya? jgn sampe telbay kena slik &amp; akun dibekukan. kami bantu ke bayar tnpa uang pribadi, konsul gratis langsung ke tele zonauang jokipinjol",judi_online_pinjol
UID053797,X,penipuan_ewallet_qris,penipuan_ewallet_qris,"qris palsu kotak amal, iman mahlil lubis diduga pakai 3 rekening penampung [URL]",penipuan_ewallet_qris
UID002178,YouTube,deepfake_penipuan_ai,judi_online_pinjol,"hari ini aku udah 2 kali yg nawarin pinjol -_- ini udah mending, sekitar beberapa bulan lalu sehari bisa sampai 3 - 4 kali, atau mngkin lebih atau kurang aku udah lupa tpi ada aja hampir tiap hari, krena aku sampai emosi banget, nomornya udah aku blokir ada terus, kadang kalau lgi sabar aku nunggu mbanya habis bicara, setelah selesai aku bilang kayak ""tolong bsa gak stop hubungi nomor sya, sya gk mau pinjol sama sekali"", krena nomor bru aku pikir temen atau sodara jdi d angkat, trnyata yg nawarin pinjol",judi_online_pinjol
UID047050,YouTube,judi_online_pinjol,judi_online_pinjol,"yakin nih,anime nya top markotop bng rizki,lanjuttt basmi judol",judi_online_pinjol
UID041679,YouTube,judi_online_pinjol,judi_online_pinjol,kalau slot iya.. tapi togel itu murni hoki hokian,judi_online_pinjol
UID043953,YouTube,judi_online_pinjol,judi_online_pinjol,".. manusia jahat ... saya tak henti""nya berdoa kepada tuhan hancurkan dunia perjudian online,berilah kedamain dunia tanpa judi online ... amin amin yarobbal alamin.....",judi_online_pinjol
UID043386,YouTube,judi_online_pinjol,judi_online_pinjol,tetangga saya 300 juta hutangnya akibat judol akhirnya bunuh diri,judi_online_pinjol
UID034765,YouTube,judi_online_pinjol,judi_online_pinjol,"jng percaya judi2 online pasti penipuan termasuk forex2 apalah itu yg pake hp .. klau memang penasaran mau judi, yaa di real life, ke lastvegas atau kapal pesiar, tapi gak jamin juga itu tanpa kecurangan atau di akalin ..",judi_online_pinjol
UID007458,YouTube,peretasan_pencurian_identitas,judi_online_pinjol,"betul bang temen aku sama orang palembang di check maps hpnya dia ngaku kurir paket jne ngasih link paket ngaku jne teman saya bobol 3,5 di bca dan email saya juga di bajak di pakai data pinjol",judi_online_pinjol
UID044317,YouTube,judi_online_pinjol,judi_online_pinjol,"gw yakin besok di fb/ig/sosmed lain video ini diedit bandar, buat promosi judol",judi_online_pinjol
UID046272,YouTube,judi_online_pinjol,judi_online_pinjol,kak rizky riplay tolong dong kasih cara yang lain soalnya temenku saya udah kasih ini video tetep aja ngeyel judol mulu,judi_online_pinjol
UID034087,YouTube,judi_online_pinjol,judi_online_pinjol,meski udah terbukti yg namanya otak udah tercuci mesti susah di bilangin ..ahirnya sy semangatin aja itu yg suka judol,judi_online_pinjol
UID039088,YouTube,judi_online_pinjol,judi_online_pinjol,harus viral ini titik cerah untuk membuka mata para pemain juddol yg terjerumus game on-line slot semoga cpt berhenti trimakasih bg marsel saya juga mantan pemain game judol alhamdulillah skrng sdh berhenti,judi_online_pinjol
UID044986,YouTube,judi_online_pinjol,judi_online_pinjol,"sircle gw itu kebanyakan juga pemain slot, bahkan gw pun sempat kecanduan juga. gw termasuk pemain baru di kalangan gw, tapi gw udah pernah kecanduan sejak 2020 sampe awal tahun 2023. awalnya gw kalo bongkrong ya cuma gw sama 1 atau 2 orang doang yg gak main, sedangkan d tongkrongan ada 20 orang lebih yg pada sibuk ngeslot, ahirnya lama2 gw di ledekin kan ""percuma duit banyak tapi gak berani main. ngapain nongkrong kalo gak mau modal buat main"" nah sesekali gw turutin tuh biar gak pada bacot mulu, ada rasa penasaran juga soalnya. nah ketika awal2 gw main modal 50 bisa dapat 4jt tuh, ya gw seneng dong. bahkan temen gw yg main udah berbulan2 aja baru dapet sekali, itupun masih rugi. nah ahirnya gw malah kecanduan tuh sampe bertahun2, eh malah tabungan hasil kerja gw sejak 2015 abis semua. di awal 2023 gw baru ngerasa kalo udah gak ada cara lagi buat deposit, ahirnya gw minjol, dan ahirnya ahis juga, sekarang untunglah bisa nyadar karna pusing juga di kejar2 dc pinjol, bahkan dia sampe dateng ke rumah, ke tempat kerja... udah lah gak ada untungnya sama sekali yg namanya judol. kalo gw bisa ketemu sama bandar yg udah garuk semua duit gw, pengen gw kubur idup tuh bandar",judi_online_pinjol
UID033096,YouTube,judi_online_pinjol,judi_online_pinjol,jangan main judom di situs m88 sama wd boss ya pencuri semua situs judi,judi_online_pinjol
UID046990,YouTube,judi_online_pinjol,judi_online_pinjol,judol = ?????,judi_online_pinjol
UID021525,YouTube,malware_apk,judi_online_pinjol,klau slot 777 cash.. minta to up. and id yg lagi barmtas limit,judi_online_pinjol
UID002645,YouTube,deepfake_penipuan_ai,deepfake_penipuan_ai,kak kemarin saya nemu deep fake lu kak dari oknum yang ga bertanggung jawab sedang mempromosiin buku gw lupa judulnya,deepfake_penipuan_ai
UID054474,X,peretasan_pencurian_identitas,peretasan_pencurian_identitas,"[USER] pdn mah cuma server, ga ada urusan sama kebocoran data di level aplikasi. apalagi kalau kena phising itu petugasnya.",peretasan_pencurian_identitas
UID039708,YouTube,judi_online_pinjol,judi_online_pinjol,"sebenarnya orang rata2 sudah tahu bahwa judol ini hanya permainan bandar, akan tetapi judol ini lebih parah efek kecanduannya dibanding narkoba. orang jika sdh kecanduan slot akan pusing jika dalam sehari tdk bermain slot, jd efek kecanduannya itu sangat berbahaya.",judi_online_pinjol
UID003024,YouTube,deepfake_penipuan_ai,deepfake_penipuan_ai,"gue belom pernah sih ngeliat video deepfake give away atau semacamnya tapi sempet seliweran iklan-iklan jualan yang pake deepfake ai. yang paling sering itu obat sendi sama susu lansia . oh iya, bahkan salah satu e-commerce lokal juga pake deepfake ai loh. dia nyomot video influencer china biasanya.",deepfake_penipuan_ai
UID042474,YouTube,judi_online_pinjol,judi_online_pinjol,"apapun yang di infokan kepada para pemain judol gakan tembus walopun kalian teriak” ini penipuan, yang main judol tolol,dungu you can say anything you want sepuas”nya bagi para pecandu semakin ‘di labeli’ semakin mereka acuh dan bilang ‘lo gak pernah tau sudah berapa uang yang habis dan apa yang sudah ‘terlanjur’ dilakukan. para pecandu judol tau kalo judi itu salah judi itu dosa dan bodoh, alih” sadar tapi mereka malah semakin terpojok dengan label” negatif yang bahkan membantu untuk menemukan solusi saja tidak sampai mirisnya ada yang suicide yaa memang salah para pecandu tapi tidak sepenuhnya, dan sayang sekali hal ini tidak pernah menjadi hal yang serius bagi para pemerintah ato orang” ternama,tidak adanya regulasi yang jelas untuk mengatur perjudian juga hanya menyelamatkan perut dan kelompok sendiri bahkan untuk sekedar menyediakan jasa psikiater bagi para pecandu untuk orang” terdekat saja tidak selamat dan merdeka atas rasa kemanusiaan yang mati. [EMOSI_WASPADA]",judi_online_pinjol
UID040389,YouTube,judi_online_pinjol,judi_online_pinjol,"kelas bg marcel,ane udh banyak rugi dri judol,udh berenti lama, semoga kedepannya lebih baik lagi",judi_online_pinjol
UID031885,YouTube,judi_online_pinjol,judi_online_pinjol,"maaf sebelumnya !! mas ini punya situs sendiri dan mampu mengontrol sendiri gitu,, gimana dengan "" live casino "" soalnya saya bukan pemain slot tapi masih terjebak di ""live casino"" susah amat berentinya [EMOSI_SEDIH] apalagi saat nongkrong dan nyantai,,, kalo gak depo berasa ada yang kurang,,, keknya aku dah hak waras deh,,, mohon solusinya [EMOSI_SEDIH] [EMOSI_SEDIH] [EMOSI_SEDIH]",judi_online_pinjol
UID038729,YouTube,judi_online_pinjol,judi_online_pinjol,"sebelum nonton video ini aku sudah lama berhenti main judol krna aku adalah bodoh yg sudah menghabiskan uang bnyk hnya krna tergoda oleh iklan dn rayuan setan [EMOSI_SEDIH] , sblm terjermus jngn lah coba2 main judol krna menang itu bukan lah hoki tpi di kasih , hri ini kmu menang 1jt besoknya kmu bisa kalah 2 jt , klo mau menang stop bermain judol [EMOSI_SEDIH]",judi_online_pinjol
UID007540,YouTube,peretasan_pencurian_identitas,malware_apk,kak ajarin juga dong link yang bisa sadap kak. atau bisa minta wa atau ig kak. krna aku juga pernah kena kak tp bkn bca. tp ada 1 aplikasi kayak belnja online gitu kak [EMOSI_SEDIH] dan dia emang minta nomor atm bukan pin kak. tapi dia minta koflnf yg masui lewat sms dgn modus hadia dari gopay atau belanja online gitu. nah waktu ada kondirmasi sms dr apk belanja online itu lah aku baru sadar kak. uangku berkurang dan untung atm dekat walau bnyak juga dia dah shopping gitu. tp aku nga bisa lacak ingat itu sedih bgt sih [EMOSI_SEDIH] uangnya bagi aku besar kak..,phishing_rekayasa_sosial
UID033187,YouTube,judi_online_pinjol,judi_online_pinjol,untung gw gk ngerti judol,judi_online_pinjol
UID047915,YouTube,judi_online_pinjol,judi_online_pinjol,"ini sedikit gambaran bagi orng yang suka judi online ,,,nggk ada critanya bikin kaya ,,yg ada mmbuat kluarga hancur ,,,tpi knpa sampai sekarang masih aja nggk hilang yg nmanya judi online ,,,",judi_online_pinjol
UID038663,YouTube,judi_online_pinjol,judi_online_pinjol,korban judol duliu skarang ya alhamdulillah udah engack dah tobat soalnya dah habis motor 2 wkwkwkwk,judi_online_pinjol
UID031949,YouTube,judi_online_pinjol,judi_online_pinjol,anjg gua nonton tnpa di skip anjng judol ini real penipuan,judi_online_pinjol
UID054560,X,peretasan_pencurian_identitas,peretasan_pencurian_identitas,ada jasa hack akun shopee ga sih bete bgt huft,peretasan_pencurian_identitas
UID039816,YouTube,judi_online_pinjol,judi_online_pinjol,"tidak mungkin di situs judol itu tidak adak kelemahanya. bisa bikin situs itu error contoh, kalau bisa alangkah bagus di kasih tutorialnya, dan saya jamin, pasti bisa mengurangi jumalah situs2 judol. tidak perlu harus lapor sana sini, ujung2 situsnya masih tetap dibuka.",judi_online_pinjol
UID007073,YouTube,peretasan_pencurian_identitas,malware_apk,"bang kalo pake verikasi 2 langkah di whatsapp,, apa masih aman kalo sudah klik download apk nya di whatsapp?",malware_apk
UID054291,X,peretasan_pencurian_identitas,peretasan_pencurian_identitas,gawat! 250 ribu akun twitter dibobol [URL] via [USER],peretasan_pencurian_identitas
UID000498,X,malware_apk,malware_apk,"dapatkan saldo 10.000 pas download apk shopeepay cara: upgrade ke spay plus, log in dg shopee &amp; masukin kode referral qe87xgafx diskon info freelance job receh bealanja the gunners guru prabowo rabu malam desa sudirman wapres gibran dpp pmn arsenal jeno [URL]",malware_apk
UID052916,YouTube,malware_apk,phishing_rekayasa_sosial,sejenis ama link phising itu mh bang,phishing_rekayasa_sosial
UID042387,YouTube,judi_online_pinjol,judi_online_pinjol,"​ [USER] bandar judol kah? atau lu ketar ketir karena bang ronal ngasi edukasi biar orang yang udh terjebak di dunia judol bisa berhenti,segitunya amat bilang kalau dia penipu,kalau dia penipu mah ga mungkin berani dia ngebongkarin trik haram bandar slot",judi_online_pinjol
UID034619,YouTube,judi_online_pinjol,judi_online_pinjol,ayo firalkan biar bang ronal ini di panggil pemrintah untuk bantu bratas para bandar judi onlein yg di indonesia ? biar secepatnya para bandar lenyap dan mati di muka bumi indonesia dan biar indonesia bisa hidup tentram aman damai sejah terah tanpa judi onlein,judi_online_pinjol
UID000969,X,judi_online_pinjol,judi_online_pinjol,"zaman sekarang judi online itu ga kenal usia ya? cerita temen, ternyata bapak2 pun kena judi online. mungkin mereka ini baru melek internet, nyoba hal kek gitu biar dapet duit dari internet. alhasil, malah buntung.. kocaknya, nih temen pas tau bapaknya gitu, dicurilah hp",judi_online_pinjol
UID046062,YouTube,judi_online_pinjol,judi_online_pinjol,"iya, walaupun dia main slot, nyuri kotak amal, tpi itu juga kan usaha nya buat nyari duit setelah bayarin paket yg hilang, kasihan",judi_online_pinjol
UID036337,YouTube,judi_online_pinjol,judi_online_pinjol,kalau togel kira2 di seting juga gk ya???? mohon jawab bagi yang tau,judi_online_pinjol
UID051924,YouTube,malware_apk,malware_apk,isi video ini informasi apk virus 5% ngeroasting iphone 99%,malware_apk
UID042138,YouTube,judi_online_pinjol,judi_online_pinjol,gue jadi korban mobil 1 dan motor ninja gue lenyap dan jual tanah gara2 judi ini alhamdulilah baru sebagian harta gua yg lenyap dan gue salah satu korban. itu masalalu yang pernah gue alami sebelum bertobat judi online n judi real. hanya di awal main aja gue whitdraw menang 100 juta. setelah itu habis semua harta gue ternyata ini semua hanyalah setingan bandar. alhamdulilah sekarang usaha gue maju lagi dengan kerja keras lagi bisnis tanpa anti judi. karena judi hanyalah bikin bangkrut bertobatlah temen2 sebelum nasib kalian sama kaya gue. ini semua tipuan judi online..,judi_online_pinjol
UID000853,X,judi_online_pinjol,judi_online_pinjol,kepolisian sektor serang baru polres metro bekasi bergerak cepat menindaklanjuti laporan masyarakat yang masuk melalui layanan call center 110 mabes polri terkait dugaan adanya ancaman dari pihak yang mengatasnamakan debt collector aplikasi pinjaman online (pinjol). [URL],judi_online_pinjol
UID042177,YouTube,judi_online_pinjol,judi_online_pinjol,arti dari efek candu diatas narkoba yaitu si pemain judol nonton ini pun akan tetap bermain,judi_online_pinjol
UID047172,YouTube,judi_online_pinjol,judi_online_pinjol,karena judi adalah racun kehidupan,judi_online_pinjol
UID044112,YouTube,judi_online_pinjol,judi_online_pinjol,trs untuk judi bola gitu gmna cara kerjanya mareka?,judi_online_pinjol
UID032487,YouTube,judi_online_pinjol,judi_online_pinjol,tapi kalo punya temen yang suka judol seneng,judi_online_pinjol
UID040457,YouTube,judi_online_pinjol,judi_online_pinjol,sayang kurang komplit pembahasanya..cuma judol game..yang judol angka tidak pernah di bahas..disemua narasumber,judi_online_pinjol
UID031708,YouTube,judi_online_pinjol,judi_online_pinjol,"sbnarnya pemain itu sudah banyak yang ingin berhenti tapi susah karna efeknya judol slot itu candu,salah satunya jalan agar tidak bermain slot itu ganti hp dari android ke hp jadul yang bunyinya tulit....tulit...kring... kring...kalau pakai hp android setiap jam,setiap menit difikiran inginnya itu bermain slot teruuus,",judi_online_pinjol
UID046747,YouTube,judi_online_pinjol,judi_online_pinjol,"kasihan gara2 judi online banyak sengsara, semoga cepat di bratas",judi_online_pinjol
UID041953,YouTube,judi_online_pinjol,judi_online_pinjol,semoga para pembuat situs judol kena dosa jariyah nya..,judi_online_pinjol
UID054762,X,peretasan_pencurian_identitas,peretasan_pencurian_identitas,ada jasa hack ig gaksih? pgn tau sm postingannya zonauang,peretasan_pencurian_identitas
UID015612,YouTube,peretasan_pencurian_identitas,judi_online_pinjol,data saya sekarang di salahgunakan untuk pengajuan pinjol..bagaiman cara mengatasinya bang???padahal saya tidak pernah mengajukan pinjaman di aplikasinya,judi_online_pinjol
UID042425,YouTube,judi_online_pinjol,judi_online_pinjol,bongkar yang live casino sama togel bang,judi_online_pinjol
UID036433,YouTube,judi_online_pinjol,judi_online_pinjol,"gw putusin, abis nonton podcast ini gw berenti total main judol. udah cukup, terima aja kalah nya, tinggal berjuang buat bayar utang gegara judol. ternyata gw se tol**l itu selama ini ya allah terima kasih bang, semoga kawan-kawan korban judol bisa sadar...",judi_online_pinjol
UID040526,YouTube,judi_online_pinjol,judi_online_pinjol,"bang marcel, coba suarakan supaya yg di tutup itu bukan situs judolnya. tetapi situs permainan judolnya (seperti pragmatic play, pgsoft, dll). krna kalo hanya nutup situs judol merka gmpang bikin lagi. tpi jika pemerintah memblokir situs game nya mau ada jutaan situs ttp gk bisa akses kepermainnya judolnya. krna situs judol dan game judol itu beda server ya bang.",judi_online_pinjol
UID032154,YouTube,judi_online_pinjol,judi_online_pinjol,aku coba menghilangkan dengan cara bermain game terimkasi edukasi semoga bermanfaat kepada sya dan semua orng juga bisa melihat bukti nyata bahwa judol itu penipuan dan jngan percaya sama iklan iklan dan di youtube jngan ada percaya mulai detik sya akan lebih mengkontrol pikiran sya,judi_online_pinjol
UID043934,YouTube,judi_online_pinjol,judi_online_pinjol,"percuma sih, mereka juga tau tapi tetep aja terjebak “hoki gada yg tau”. lebih parahnya lagi di daerahku polisinya sendiri yg ngajakin mabar, gathering tiap beberapa hari sekali mencari-menemukan-mengeksploit bagaimana caranya jackpot di slot",judi_online_pinjol
UID038701,YouTube,judi_online_pinjol,judi_online_pinjol,bahagia rasanya udah berhenti main slot asli dah,judi_online_pinjol
UID054054,X,penipuan_ewallet_qris,penipuan_ewallet_qris,polisi kantongi identitas pelaku pemasangan qris kotak amal masjid palsu [URL],penipuan_ewallet_qris
UID039267,YouTube,judi_online_pinjol,judi_online_pinjol,"intinya nih ,kita udah sama"" tau bahwa, judol itu ""penipuan"" , nah , pertanyaannya , ""bisakah ini dibawa ke ranah hukum..?""(atau bisakah mereka menangkap para bandar2 tersebut, ??) walaupun situsnya di luar indonesia , bisa gk sih ditangkap dan di extradisi di indonesia,,,? kan udh merugikan kawan2 kita di indonesia...(ini sama kasusnya dengan narkb* yang masuk ke amerika serikat ,, lantas mereka mengektradisi para bndr"" tersebut. yang kebanyakan brda di luar negaranya)... bisa ngk sih di bikin kyak gtu...? harusnya sih kyak gtu....",judi_online_pinjol
UID038786,YouTube,judi_online_pinjol,judi_online_pinjol,"saya punya banyak teman yang suka main judol itu tetapi saya tidak ikut main karena saya tidak tahu caranya. cuma kalo diperhatikan sepintas seperti orang jualan bukan judi. ada orang datang ke teman saya, beli ""chip"" seharga 50 ribu kemudian orang itu main. kalo orang itu menang datang lagi ke teman saya untuk menjual ""chip"" nya. hasil penjualan ""chip""nya ada yang digunakan untuk membeli alat alat pertukangan. jadi nampaknya seperti orang jual beli ""chip"". teman saya menjual seharga 50 ribu tetapi kalo membeli hanya seharga 45 ribu. mungkin hal ini yang membuat judol sulit diberantas karena ada yang menganggap jual beli chip sama saja dengan orang jualan pada umumnya.",judi_online_pinjol
UID033636,YouTube,judi_online_pinjol,judi_online_pinjol,ilmu mahal brooo semoga gua dan keluarga gua dijauhkan dari judi online bangsat,judi_online_pinjol
UID037065,YouTube,judi_online_pinjol,penipuan_ewallet_qris,"berantas simpel, blokir rekening judolnya, krn sampai skrg rekening nya setahun sama terus walau di blokir buat rek lg tp selama saldo hilang pasti pusing 7 keliling dah",judi_online_pinjol
UID000852,X,judi_online_pinjol,judi_online_pinjol,teror pinjol | seorang artis vicky shu pernah jadi korban teror dc pinjol berikut penjelasan secara langsung nya seperti apa ya guys edukasi konsultasigratis solusi jokipinjolamanah syafira_falisha [URL],judi_online_pinjol
UID054427,X,peretasan_pencurian_identitas,peretasan_pencurian_identitas,"[USER] [USER] (1) hai kak, mohon maaf atas kejadian yg kakak alami. chat tsb bukan dari jne. mengenai dugaan kebocoran data, management jne masih melakukan review dan koordinasi dengan pihak terkait untuk kebenaran informasinya.",peretasan_pencurian_identitas
UID044698,YouTube,judi_online_pinjol,judi_online_pinjol,"tiba-tiba para admin judol berbicara, ada yg tidak baik-baik saja kawan.",judi_online_pinjol
UID037142,YouTube,judi_online_pinjol,judi_online_pinjol,thank's mas marchel atas info nyaa sangat membantu untuk generasi bangsa indonesia yang masih bermain judol,judi_online_pinjol
UID045013,YouTube,judi_online_pinjol,judi_online_pinjol,"teman gw main judol ini,kalah bnyak,sampee duit perusahan di pake maen dan hasilnya jungkir balikdan sekarang ujung² nya di pecat dan di suruh ganti",judi_online_pinjol
UID042561,YouTube,judi_online_pinjol,judi_online_pinjol,"dari judol terjerumus narkoba, keluarga hancur tobat lah wahai manusia...",judi_online_pinjol
UID031747,YouTube,judi_online_pinjol,judi_online_pinjol,"abah haji rhoma irama juga bilang judi awal dari kemiskinan, jadi orang berjudi pasti jadi miskin",judi_online_pinjol
UID046423,YouTube,judi_online_pinjol,,ampun zeus,judi_online_pinjol
UID033774,YouTube,judi_online_pinjol,judi_online_pinjol,"temen gw, gw kirimin vidio ini kata dia ""gw mah ga takut, gw mah mental judi "" astaghfirullah miris [EMOSI_SEDIH]",judi_online_pinjol
UID041833,YouTube,judi_online_pinjol,judi_online_pinjol,apakah supaya berhenti judol...harus melarat dulu...?,judi_online_pinjol
UID031657,YouTube,judi_online_pinjol,judi_online_pinjol,bang ajarin cara nge hacek judol...,judi_online_pinjol
UID041296,YouTube,judi_online_pinjol,judi_online_pinjol,konten begini yang harus di apresiasi.. mudah mudahan orang orang pada sadar bahwa judol itu murni penipuan.. sadarlah kawan,judi_online_pinjol
UID049467,YouTube,deepfake_penipuan_ai,judi_online_pinjol,ngeri tuh kalo foto ber ktp nya dipake buat pinjol,judi_online_pinjol
UID047004,YouTube,judi_online_pinjol,judi_online_pinjol,intinya jgn judi,judi_online_pinjol
UID043402,YouTube,judi_online_pinjol,judi_online_pinjol,bang marsel gak lama lagi.. video ini pasti di buat iklan sama admin slot bajingan,judi_online_pinjol
UID045343,YouTube,judi_online_pinjol,judi_online_pinjol,di antara ku dan judi di antara ku dan judi cuma judi tak ada yang lain sekali ku main langsung miskinnnnn,judi_online_pinjol
UID046027,YouTube,judi_online_pinjol,judi_online_pinjol,gscor gacor,judi_online_pinjol
UID040399,YouTube,judi_online_pinjol,judi_online_pinjol,pernah di dm orang tak aku kenal ..promosi judol...tak ambil pusing .langsung gue blokir ...,judi_online_pinjol
UID039919,YouTube,judi_online_pinjol,judi_online_pinjol,kemaren trading kaya mendadak. sekarang judol. nanti pasti ada lgi modus2 yang lain,judi_online_pinjol
UID000819,X,judi_online_pinjol,judi_online_pinjol,"[USER] sebenarnya ada yg lebih penting, yaitu judol dan pinjol. keduanya terbukti telah memakan banyak korban.",judi_online_pinjol
UID046256,YouTube,judi_online_pinjol,judi_online_pinjol,"ingat ya judi bisa sangat pengaruh sama emosional,jgn sekali² coba buat main judi",judi_online_pinjol
UID044129,YouTube,judi_online_pinjol,judi_online_pinjol,"aku gara2 judol hidup susuh [EMOSI_SEDIH] [EMOSI_SEDIH] smpai detik ini hutang uda 12 jt gk lunas2.. uda berhenti hampir 6 bulan. semoga lancar dengan hidup baru.. tinggal pusing lunasin hutang dari mana cari uang nya.. karna kondisi uda berkeluarga., jadi susah buat lunasin hutang. [EMOSI_SEDIH] [EMOSI_SEDIH]",judi_online_pinjol
UID039494,YouTube,judi_online_pinjol,judi_online_pinjol,mas marcel tolong di banyakin tth judol ini biar banyak sadar yang judol,judi_online_pinjol
UID016038,YouTube,peretasan_pencurian_identitas,phishing_rekayasa_sosial,daerah selapan biasanya tpi emang ntah kenapa anak sana pinter2 (nipu),phishing_rekayasa_sosial
UID042166,YouTube,judi_online_pinjol,judi_online_pinjol,penipuan berkedok judi,judi_online_pinjol
UID039077,YouTube,judi_online_pinjol,judi_online_pinjol,ini sangat keren bang marcel... judol judol judol menghancurkan manusia normal jadi gobl*k...buat para pemain. judol semoga pada berhenti bermain dan akal sehatnya pada normal lagi,judi_online_pinjol
UID045118,YouTube,judi_online_pinjol,judi_online_pinjol,gue yg fakultas hukum senyumin aja yg judol,judi_online_pinjol
UID038557,YouTube,judi_online_pinjol,judi_online_pinjol,"gua masih judol,,,tapi maen rollet...daridulu gak suka slot sukanya rollet...biarpun di seting pakai remot tetep aja bisa nyari receh 300-500 buat harian",judi_online_pinjol
UID040694,YouTube,judi_online_pinjol,judi_online_pinjol,cuma divideo ini gw gak nemu yg promosi judol,judi_online_pinjol
