sample_id,text,annotator_layer1,annotator_layer2,annotator_speaker_role,annotator_confidence,annotator_notes
G017,Video nadia omara itu asli bukan deepfake,,,,,
G018,Komdigi dan CSO Siapkan Alat Deteksi Deepfake Buatan AI https://t.co/vwh718DkW9 https://t.co/vZf0khrNq9,,,,,
G019,"@mhabibieih @suryabi @tanyarlfes Udah bang. Emang tukang nipu, dia kabur dari medan. Sebelum ke jakarta, abis dari bandung. Skg pake mobil plat bodong. 

Bahkan di istiqlal juga ditempelin qris palsu",,,,,
G020,"Kalau didengar dari suara, nada bicara, dan gaya percakapannya, bisa ketauan kalau itu AI. Cuma seperti apa yang kak Nessie bilang, gak semua orang itu tau dan peka akan masalah ini. Jadi bisa aja ditipu. Mana AI makin lama makin canggih lagi. Hadeuh, zemoga kita semua dijauhkan dan dilindungi dari orang² yang berniat jahat. Aamiin...",,,,,
G021,"Viral stiker barcode QRIS kotak amal palsu ditemukan di Masjid-masjid Jakarta, ada 50 di Istiqlal
#CelebritiesDotID #InfoCelebTerkini 
https://t.co/OCJk4vdS3d",,,,,
G022,"@zetsuputih25 @hrdbacot Mohon maaf mengenai kesamaan data dan dugaan kebocoran data Customer masih harus diinvestigasi lebih lanjut ya kak. Himbauan dan saran JNE agar kita bisa terhindar dari modus penipuan lainnya bisa kakak lihat di Channel tiktok dan IG resmi JNE sbb:
https://t.co/n4SeOXCmIr",,,,,
G023,"Terima kasih bos informasinya,, yang bos utarakan diatas benar skali. saya udah terima aplikasi apk mengaku dr kurir JnT, awalnya mreka menelpon saya mgatakan bhwa paket saya alamatnya tdk valid, rayuan mreka sayang krn paket udah dibayar sm ongkirnya, saat itu juga saya terima pesan BRO OTP utk mengganti pasword, trs saya pancing tlng dong kirimin fhoto paketnya, tapi yg dikirim aplikasi APK paket JNT, dan dia bilang buka aja kak aplikasinya dan lengkapi datanya, saya langsng ingat pesan kk utk tdk di klik, diahir pembicaraan sya bilang carilah rezeki yg halal aplg utk diberikan ke anak istri. Terima kasih bos atas informasinya telah menyelamatkan orang orang dr kejahatan onlen. 👍💪🙏",,,,,
G024,"Saya pengen balik sini lagi,biar saya ingat terus bahwa slot itu settingan",,,,,
G025,"PENIPU FREELANCE PADAHAL DISURUH SCAN PINJOL  

No WA : +62 858-6220-1558 085862201558 @wonyejang
Seabank : shafa nuraini safitri (901563246480)

ini temenku yang kena tipu gais, aku tau dia salah, disini aku up biar kalian yang cari freelance lebih aware lagi 
#zonauang penipu https://t.co/I06WyDPJnI",,,,,
G026,Ada oknum pengiriman yg jd mata² didalam untuk curi data...dijual dan dijadikan bahan untuk penipuan tuh..,,,,,
G027,"Assalamu’alaikum, Sahabat Syariah!

Lagi asyik main HP, tiba-tiba dapat pesan WhatsApp dari ""BSI"" yang minta install aplikasi (APK) atau kasih info perubahan tarif? HATI-HATI, ITU PENIPUAN!

Bank Syariah Indonesia tidak pernah meminta data rahasia seperti PIN, Password, atau OTP https://t.co/Ndau6uY5ix",,,,,
G028,BRI selalu jaya,,,,,
G029,"Menko info ga paham kalau judol itu penipuan bro, kalau mereka paham maka tidak akan ada judol diindonesia. Atau memang kualitas orang2 yang bekerja dimenko info kebanyakan koncoisme daripada profesionalisme. Alasan ini didukung hosting dari 50k / bulan aja ada back up an data nya, masa kemaren kasus data bocor panik nya bisa senasional?? Wkwkkwkkw",,,,,
G030,Berantem sama temen gara-gara slot ini wkwkkwkw anjing banget kan,,,,,
G031,"Sebelumnya saya sudah upload versi tidak tertutupnya, tapi dalam jangka waktu 1 hari tayang, youtube langsunv mentake down videonya, karna dianggap ujaran kebencian (saya dengan sadar memasukkan wajah pelaku ke video, karna wajahnya sebenernya deepfake/palsu)",,,,,
G032,"Kalo penipuan, report dong itu video judi indo yg di youtube.",,,,,
G033,"tarik tunai dibatasi, tapi transaksi mobile tak terbatas",,,,,
G034,Tks koko.. Saya juga pernah kena tipu. Karena saya curiga tanya tanya pin. Kaly saya kasih padam blokir. Kasihan korbannya,,,,,
G035,Hal ini dilakukan setelah pihaknya mendapat informasi bahwa Masjid Istiqlal juga menjadi sasaran penempelan QRIS palsu.#focus #qris #news #text https://t.co/6B1Rd2e4QV,,,,,
G036,"Tolong bang marsel kalau bisa di liput di tv nasional biara seluruh rakyat Indonesian tahu bahwa judol itu real penipuan, ""semoga menjadi amal ibadah buat bang marsel""",,,,,
G037,"semua pemain judol udah tau klo penipuan tapi gmn ya. banyak macemnya sih pemain judol, ada yg tolol maen judol biar kaya, ada yg males kerja berharap dapet duit dari judol, ada yg hobi judi dari dulu mao itu online atau ga, ada yg cuma suka mainin slot nya karna menurut dia seru, macem"" sih alesan/penyebabnya",,,,,
G038,"Konten mu pembohongan semua,percuma berhijab tapi bohong demi konten",,,,,
G039,"saya pecandu judi online, sebenernya saya punya niat ingin berhenti judol",,,,,
G040,Terus lah berbuat baik bang bisa jadi karna lu org bisa stop judi,,,,,
G041,udh instal. ga sklian ngasih tau di hpus appny biar aman?,,,,,
G042,Gaperlu jurusan IT kalo lu orang normal juga tau judol itu nipu. Yang dia mainkan itu emosional makanya orang gapunya duit pada pengen menang dengan harapan dapet banyak 😂😂,,,,,
G043,Mantap bang👍,,,,,
G044,"Dari total masjid yang dipasang QRIS palsu tersebut sebagian ialah masjid besar

https://t.co/7twhQLlLqv",,,,,
G045,"Papah ku hampir kena untung dia pinter blm klik langsung ke BCA pusat di kota kita , katanya penipuan atas nama BCA",,,,,
G046,"terimakasih mas, tadi barusan ada yang ngirim undangan tapi berupa apk dan hp saya (Xiaomi) tidak mengijinkannya dan ada notif apk bahaya jadi saya cari di yt ternyata benar itu apk Malware. 🙏",,,,,
G047,respek abang ex admin judolnya berani muncul ngebongkar tentang sistem judolnya meskipun mungkin dia tau bekingan situs2 judol itu polisi bahkan pemerintah(komingfo) bakal panas 😁,,,,,
G048,Jangan pernah pinjol dan judol... Klo mau bangkrutkan mereka,,,,,
G049,Betul sekali aku tidak memiliki hubungan cinta karena aku sudah tidak punya hati dan aku tidak akan melakukan judi karena agama ku melarang nya dan dapat dosa,,,,,
G050,"⚠️ WASPADA MODUS FILE APK / UNDANGAN PALSU ⚠️

Lebih berhati-hati terhadap modus penipuan digital melalui file APK dan undangan palsu yang dikirim lewat chat, SMS, maupun media sosial.

#WaspadaPenipuan
#JagaDataPribadi
#PoldaMetroJaya
#PolresTangsel https://t.co/i0KPTccZOa",,,,,
G051,"🗣 : Deepfake bahaya dan bisa merugikan orang lain. Menimbulkan fitnah. Also netizen pas ada meme deepfake Pak Prabowo dan Pak Jokowi : "" Awokokok lucu "" Kocak Mulyono "" , "" mana sprei yang kau janjikan itu Wok. Itu nggak respect banget 😂 "" Gua nggak paham kenapa orang kek gitu. Gua yang nggak suka dengan kedua pejabat tersebut nggak sampe berlebihan. Deepfake , AI tuh bahaya. Jangan sampe di salah gunakan untuk hal - hal yang buruk. Tau kan orang kita gampang di bego-begoin, gampang percaya. Malah nyebar hoax jadinya. So jangan terlalu di nornalisasikan yang seperti ini. Apalagi sampe di jadiin meme. Dan yang paling bahaya bisa di pake buat penipuan.",,,,,
G052,"Kalau udah terlanjur klik gambar download apk tp belum selesai download, saya cancel gimana koh?? Apakah masih berbahaya...",,,,,
G053,Di shorts aja banyak yang jualan madu atau apalah apalah pakai deepfake niru jadi dokter 💀💀💀,,,,,
G054,"Mengandung banyak makna arti pesan moral nih animasi, semoga judi online diblokir pemerintah 😔",,,,,
G055,Mantap abang akan slalu bermanfaat konten abang semoga sukses,,,,,
G056,"Prihal kasus ini sebenarnya kerugian terbesarnya bukan ada pada nilai rupiahnya (yg terlanjur di transferkan ke penipu), tapi lebih ke kerugian data identitas pribadi yang diberikan secara sadar atau tidak sadar yg berpotensi disalahgunakan.

Pelajaran berharganya adalah jangan mudah percaya dan jangan mudah menanggapi hal-hal yang sekiranya tidak pernah kita lakukan dan terpenting yaitu harus tetap tenang, sebab adrenalin yang dipicu secara tiba-tiba akan memunculkan efek syok dan berakhir ling-lung jadinya mengesampingkan akal sehat untuk mencerna konteks yang disampaikan oleh lawan bicara sehingga mudah bagi lawan bicara (penipu) untuk mentriger kita sehingga mengikuti arah yg dia inginkan.

Terakhir berhati-hati itu penting, tapi menambah wawasan dan pengetahuan mengenai prosedur administrasi juga sangat penting, sehingga kita tidak mudah di gocek oleh pernyataan (ini proses sidang lewat vidio call) dan pernyataan-pernyataan lain.

Sekian dan turut berduka cita atas musibahnya. seburuk-buruknya musibah setidaknya menjadi pelajaran berharga untuk menghindar dari kejahatan-kejahatan berikutnya.",,,,,
G057,"Doain saya, saya proses buat bener2 berhenti main judol.. puji tuhan sudah berjalan 2bln saya stop judi..",,,,,
G058,Wapres Imbau Pihak Otoritas Punya Sistem Pengamanan QRIS Kotak Amal Masjid https://t.co/dvfwyH1Hje,,,,,
G059,"Alhamdulillah ga pernah di kasih suka judi online , udh dosa uang abis rugi browwww mending uang nya di tabung beli kebutuhan dan keperluan hidup jauhi judi perkaya diri #2025ANTIJUDOL",,,,,
G060,Bang kalau cuma sebatas download file apk nya dan ga di install aman ga?,,,,,
G061,Komentar Judi tolong dihapus Bang Rizky ganggu kali,,,,,
G062,Bang marsel tolong jelaskan kalau judi parlay bagaimana ?,,,,,
G063,ada yg bisa jasa hack ig gasih? ini temen gue di terror sampe begini dilingkungan sekolah. please anyone #zonauang,,,,,
G064,"Harusnya diangkat di semua tv, tayangkan secara live serentak, kalo pemerintah, serius.. Brantas judol, mas ini harus dapat perlindungan dan apresiasi dari negara",,,,,
G065,promosi judi ni kiw kiw😅,,,,,
G066,"dri kecil gw diajarin untuk tidak mencoba judi,karna judi bisa membuat gila,dri dlu ampe skrng Alhamdulillah blm prnh ngerasain main judi",,,,,
G067,Mantap saldonya,,,,,
G068,"Pakai username nya...atau lihat video di Chanel saya ini,video lebih baru dari ini....gambar depan video warna biru.... Silahkan dicoba untuk akun FB dibajak...caranya hampir mirip seperti video ini",,,,,
G069,Untuk apk undangan gue pernah membongkar isi dalam apknya.. di bagian classes dex gue menemukan Api Bot Telegram dan No. HP sipembuat Virus... Yg biasanya ini digunakan untuk memforward isi chat kita atau Kode autentikasi SMS ke nom HP pelaku baik langsung sms atau Telegram,,,,,
G070,"Padahal judi kan permainan orang kaya buat buang duit, _- Bkn buat nyari duit.",,,,,
G071,"kalo pada sering main facebook, banyak banget deepfake dari public figure, untuk promosi judol, dan yap, pelakunya ditangkap kah ?, i dont think so",,,,,
G072,"Yang dijual bukan hardware nya
Yang dijual adalah “compliance”

Banyak perusahaan sebenarnya pengen pakai AI

Tapi data mereka gak boleh keluar ke cloud karena regulasi, NDA, atau risiko kebocoran data

Dan di situlah peluang besar muncul

Seorang lawyer cuma gabungin Raspberry",,,,,
G073,"Kata teman saya: tidak ada yang gratis. Kalau ada cara mudah untuk mendapatkan uang, pasti itu SCAM. Dan korban SCAM biasanya terlalu baik atau terlalu rakus. Note: cukup uang 40 juta rupiah sudah bisa membuat video deepfake sangat rapi. Jadi bijak-bijaklah dalam melihat informasi apapun.",,,,,
G074,Tolong dong dibalas ya,,,,,
G075,"@ico_dai @bengkeldodo Video Lebih rumit, Facebook sedang mengembangkan AI untuk deteksi deepfake foto &amp; video.",,,,,
G076,@tanyarlfes PINJOL akan musnah di Indonesia klo Presiden RI ANIES BASWEDAN.,,,,,
G077,BSSN mendemokan apk virus pake iphone??? 🤣,,,,,
G078,BRI memberikan edukasi yg bagus Semoga kita terhindar dari berbagai penipuan2,,,,,
G079,Judi fisik aja masih bisa dimanipulasi apalagi judi yang dipegang ama anonimus yang kita sendiri gak kenal😂,,,,,
G080,Sama bang. Aku lebih dari itu. Belum lagi pinjol sana sini utang bank. Alhamdulillah udh bertahan 3 minggu untuk tidak deposit.​@ItelAndroid-c7b,,,,,
G081,"@danawallet jangan smpe zonk gara2 qris palsu, good job dana👍",,,,,
G082,Bang kalau pinjaman online bisa tidak,,,,,
G083,hp mbaknya di pakai sama selingkuhannya 😂😂😂,,,,,
G084,"⚠️Hati-hati kalau ada telepon ngaku dari bank ⚠️

Jangan panik kalau dapat telepon yang bilang akunmu bermasalah. CS asli nggak akan pernah minta kode OTP atau data pribadi kamu lewat telepon. Kalau merasa ragu, lebih baik langsung tutup dan cek sendiri di aplikasi resmi biar https://t.co/us924UrL5X",,,,,
G085,"Penipuan, ini hoak, tidak riyal, sangat amat FAKE https://t.co/YQTYjcQWzT",,,,,
G086,Pakek BRI transaksi bisa jadi gampang dan juga bebas biaya admin,,,,,
G087,ada gak jasa hack wa #zonauanh #zonaba,,,,,
G088,"2/3 tahun lalu, aku sempet kena love scam yang menjanjikan aku dapet uang 3.400.000,00 usd dari orang Korea yang ngaku kerja di luar korea, aku lupa dimananya karena itu udah 2/3 tahun lalu Akhirnya aku yang bodoh ini main chat aja ke e-mail yang di share oleh si penipu dengan alasan akan berbicara dengan pihak bea cukai, dari pihak tersebut meminta uang tebusan 15 juta, lalu aku bilang ke dia kok ada pembayaran segala? Katanya alasan uangnya itu ditahan Bodohnya aku lagi aku tuh udah tau gak punya duit, malah ajuin pinjaman online waktu itu adakami😭, 4,2 juta aku tf ke dia, dan besoknya aku baru cari tau karena dia bener” maksa harus tf sesuai 15,2 juta… hampir aku mau minjem di bank😭 lalu iseng” nyari modus penipuan bea cukai, dan sumpah ini jangan kalian ladenin ya, untung aku gak sampe kasih ktp maupun no rek, alhamdulillaah udah terbayar pinjol ku di tahun berikutnya Terserah kalian mau katain aku bodoh, tapi kalo kalian ada di posisiku yang gak tau teknologi yang kaya gini Tolong hati” ya guys😢",,,,,
G089,"Pasang Stiker QRIS Palsu di Kotak Amal Masjid Nurul Iman, Ini Inisial Pelaku Bertubuh Tambun https://t.co/kb0tFeoagO",,,,,
G090,kak kemarin saya nemu deep fake lu kak dari oknum yang ga bertanggung jawab sedang mempromosiin buku gw lupa judulnya,,,,,
G091,"Yang buat gue bingung dinegara ini kan yg katanya dilarang perjudian, tpi kok iklan"" jdi yg berponsor sperti di medsos(YouTube,Facebook) paling banyak itu sponsor iklan paling banyak perjudian, lucu y negri ini, perjudian dilarang, tpi iklan judi dimana"" bertebaran, nonton video di FB iklannya tentang judi, nonton yt iklannya muncul judi juga..... 😂😂😂",,,,,
G092,Kronologi Terungkapnya Kasus QRIS Palsu di Kotak Amal Masjid https://t.co/eaPPBODaLY,,,,,
G093,Apakah kalo di ipone apk kiriman nya tdk bisa kedownlod?,,,,,
G094,"Diduga Penipuan, Polisi Selidiki Barcode Qris Kotak Amal di Masjid Raya Bintaro https://t.co/KZdXKSpQfu",,,,,
G095,Buset deepfake nya halus banget gilaa.... Emang perkembangan ai sekarang udah diluar nalar. Nipu di indonesia aja kadang udh ga takut tekangkep polisi 😢😢.,,,,,
G096,"Hmmmm bco belakangan ini ada update sampai 5 kali dalam 2 bulan.
Itu harus di apresiasi. Nahhh BRO ini ga ada.
Dan setiap kali kebobolan tebak Bank apa yang muncul.
Pengen tahu. Coba kasi link donk yang mengatakan mandiro kena jebol karena apk. Kirimkan link nya yaaaa",,,,,
G097,Tapi knp ya bang marcel..klo orang udh kena judol itu susah bgt dibilangin....udh tau itu sngt merugikan baik diri sendiri dan keluarga jdi korbannya..mohon bantuannya bang tolong disadarkan orang2 yg sudah kecanduan yg sulit dinasehati.,,,,,
G098,Polisi Tangkap Penukar Barcode QRIS Kotak Amal Masjid Istiqlal https://t.co/L8Ys0iwfMN,,,,,
G099,Tpi knpa KLO akun demo gacor terus,,,,,
G100,JUDI = KE'TOLOL'AN YANG HAQIQI,,,,,
G101,Koo aku gabisa yah bang😢,,,,,
G102,@aeriziuu @aeriziuu Kami sarankan agar lebih berhati-hati terhadap modus penipuan yang marak terjadi dan selalu menjaga informasi yang bersifat pribadi seperti tidak memberikan PIN/OTP ke pihak lain atau tidak klik tautan yang mencurigakan. Tks -UH- (2),,,,,
G103,Indonesia emang ruwett,,,,,
G104,Pemalsu QRIS Kotak Amal Masjid Terciduk CCTV. Pelakunya Orang Berpendidikan? https://t.co/UYdBFOHepA,,,,,
G105,"BRI terbaik, kreatif, senantiasa mengedukasi nasabah tanpa henti, waspada penipuan soceng mengintai kita setiap hari.",,,,,
G106,Org dlm bank itu byk yg nakal...mencuri data customer....di berita2 Uda banyak,,,,,
G107,Akhirnya aku gercep wkwk,,,,,
G108,@convomf Ada jasa hack akun gak?,,,,,
G109,"Bang , gw baru saja kena tipu .. Dengan modus pinjam online via kirim pake qris .. Ini gimana bang",,,,,
G110,"Kreatif dan inovatif, sangat berguna bagi kami",,,,,
G111,"Bener arahnya ke social engineering, maenin psikologis kita",,,,,
G112,kenapa kalau penipuan tidak diobrak abrik sarang nya🤣,,,,,
G113,Saya pecandu judol. Lebih buruk dari hancur. Hanya mereka yang hancur yang bisa merasakan apa yang saya rasakan. Konten ini bagaikan segalon es teh di Gurun Sahara. Lebih indah dari WD dengan modal kecil. Master Piece. Pesulap Merah dan Team.,,,,,
G114,"AI tuh bahaya banget lo, makanya aku anti banget. paling pake chatGPT buat developing ide doang, bukan jadiin itu rujukan asli. yang paling bahaya dari AI di Indonesia itu apa? deepfake. aku udah banyak kali lo lihat promo judol pake wajah Nagita, Fadil, Igun. terus selain itu apa? wajah kita nih (khususnya para cewe) bisa diedit di foto telenji, temanku yang berhijab sudah perna kena sampai dia depresi",,,,,
G115,"SAMA NG GW UDH LAMA BERHENTI SLOT, TP UNTUK TOG3L MASIH AKTIF GW, HANYA SAJA TERAKHIR JEKPOT TOG3L MALAH GA DIBYR, PADAHAL CUMA 50 JT TP GW TETAP LANJUT TOG3L Mohon bantuannya membuktikan TOG3L itu setingan juga,",,,,,
G116,"Wajahnya AI bang, setelah saya cek lebih teliti hasil rekaman saya, mukanya dia hasil deepfake :(

Dan ini bukan hoax, saldo saya habis semua karna penipu ini",,,,,
G117,Tae judi onlen paling joos pesulap merah gor konten,,,,,
G118,@djosuasagala Mohon maaf mengenai kesamaan data dan dugaan kebocoran data Customer masih harus diinvestigasi lebih lanjut ya kak. Kami pastikan kiriman kakak dalam kondisi aman dan terkait paketnya sudah kami respon via DM. Untuk informasi yang kaka sampaikan  dapat dipastikan adalah upaya,,,,,
G119,"sampai detik saya nonton, setidaknya mas merah ini sudah mengedukasi 1,2 juta penonton soal penipuan judol ini. berkah dan amal yg luar biasa buat mas merah. saya minta izin share link nya ya mas merah ❤",,,,,
G120,isi sumpah aku disini,,,,,
G121,"#KaumMuda, seseorang tertangkap CCTV tengah memasang QRIS palsu di beberapa masjid di Jakarta. Menurut kabar yang beredar, selain Masjid Nurul Iman di Blok M Square, pelaku ternyata juga memasang stiker QRIS palsu di Masjid Nurullah, Kalibata.
https://t.co/XrGT1rKA1G https://t.co/oaNhKnepUn",,,,,
G122,Kalau nomor togel gimana?,,,,,
G123,nnti di edit ni video dijadiin iklan lagi buat judol🤣🤣🤣,,,,,
G124,Bang mau nanya klau kita g sengaja pencet link aneh solusi nya ganti hp apa gimana soalnya dana saya di hak bang😢😢😢,,,,,
G125,"Satu orang yang sama di tempat kerja pernah hampir kena tipu dan kena tipu. Yang pertama penipuan cinta di IG, jadi si orang ini ngaku orang Kalau dan lagi kerja dan tinggal di Singapura. Nah mereka sampai bertukar no WA, orang ini laki2 ngaku sebagai duda punya anak satu. Temen aku si mba sering chat-an dan vc lantas beberapa kali telp dengan duda ini. Ketika vc, si duda tidak menunjukkan wajahnya dia hanya memperlihatkan anak kecil perempuan yang selalu tersenyum di kamera tapi anehnya diajak ngobrol tidak merespon. Seiring waktu berlalu, si duda ini kirim video bahwa dia sedang jalan-jalan di mall, dan karena ini hari ulang tahunnya, dia ke toko tas dan hendak memberikan hadiah berupa tas branded ke si mba ini. Dia lalu minta uang untuk bayar bea cukai dan ongkirnya untuk mengirim hadiah ini. Beruntungnya si mba saat itu tanya ke aku dan cerita banyak, aku langsung larang dan bilang ini penipuan. Diblok lah semua akun duda itu. Lalu mba yang sama di lain hari dapat give away HP I-Phone dari tiktok. Si mba lantas mengisi form dari link dan menginfokan tentang bank-nya. Alhasil seketika itu HP nya kena hack. Uang di bank semua ditariknya untungnya sih kata si mba isinya hanya sisa beberapa ratus ribu. Tapi parahnya, berkali-kali dalam giliran, mbanking mba ini menerima sejumlah uang puluhan juta lantas raib lagi dan lagi. Setelah itu HP nya sering ditelp no tak dikenal, WA juga sama sering dichat dan ternyata itu agen pinjol yang menagih padahal si mba ngga pernah berhutang pinjol. Akhirnya si mba tutup bank dan ganti no HP, hanya tidak melapor ke mana-mana. Semuanya hati-hati ya dalam bermedia sosial. Jangan mudah percaya dengan iming-iming tawaran keuntungan atau hadiah yang besar. Dan jangan sembarangan klik link aneh.",,,,,
G126,"u tau bahaya ai nggak sih even u nggak macem-macem sama fotonya? data itu bisa di save sama ai, terus bisa disalahgunakan oleh orang lain, oon.
bukan perkara punya duit apa enggak nya.
tau deep fake, kan? itu juga karena kalian masukin data ke ai. padahal idol juga udah ada yang-",,,,,
G127,"Nahhhh GUA NGALAMIN KEJADIAN ITU JUGA, ADA ABANG ABANG Ngirim Apk Undangan Pernikahan Kata Nya Mas Coba Buka, Saya Buka Beneran,













Tapi Saya Bilang Keabang Abang Nya Gini : Pak Saya Udah Buka Apk Nya









Pake Emulator😂😂😂😂😂
Dia Marah Marah Trus Ngeblock",,,,,
G128,"Tan saya d Bali baru cair kredit di BRI 280 JT ,eh dapat link BRI langsung seminggu hilang padahal belum d ambil kasihan bro bilang anda tertipu link palsu bukan dari BRI namanya brimo apa ya lupa saya hati2 ini saya bersyukur bapak ini utusan tuhan untuk membuka kedok penipu MR ini penolong kebenaran bagi saya",,,,,
G129,ya bang saya baru saja kena tipu pinjol dari atas nama kridito dan saya di minta suru intaal apk pas di buka paket si cepat kak tapi tiba2 data2 saya bobol semua. suru kirim kode otp2 ny pas itu whasap saya tidak bisa ke buka. dan peleter saya di kuras habis bulakapak dan kridivo y kak dan saya kasih data imel dan paspor ny. terus saya udah lamporan ke ojk ny. ke depan ny saya harus gimna ya kak pa data saya masih aman pa gak.. tolong kak pejellasan. dan saya hampir kasih foto ktp dan saya hapus lgi dari wea ny gimna ya,,,,,
G130,Terus kalo judi online ayam gimana tuh,,,,,
G131,"Sorang pria kepergok cctv mengendap2 mengganti barcode Qris  kotak amal di Masjid Nurul imam di Blok M dan Masjid Kalibata city
Tandain mukanya @DivHumas_Polri, kemungkinan jaringan dari teroris yg sedang mencari dana.. https://t.co/bdG1P2WHYk",,,,,
G132,Sarah main slod di bed 60perak aja,,,,,
G133,Namanya judi gk ada yg mending mending bodohh​@MasImam-w1w,,,,,
G134,Alah telat lagi...makasih kak rizki videonya❤❤,,,,,
G135,"Ciri-Ciri Kena APK Jahat Atau Kena Hack Tahun 2023 Paling Lengkap
https://youtu.be/-x-c4NjqdPU
Ini solusi totalnya",,,,,
G136,Cara menang dari judi adalah berhenti judi,,,,,
G137,"Kemarin ada yang mau coba akses akun linkaja! punya saya dengan tiba"" masuk sms kode keamanan ke hp saya. Jangan"" itu ulah si penipu juga, padahal saya gk pernah klik link aneh"".",,,,,
G138,Gara gara judol gw putus mau merit GK jadi karna uang tabungan di depoin Semua kerjaan gw berantakan uang kantor ke pake gw bersumpah GK akan main judol lagi karena gw dah di pecat cari kerjaan baru susah kecil proses lagi,,,,,
G139,Semoga di tutup semua pinjol dan judol agar masyarakat terbebas dari 2 penyakit ini,,,,,
G140,masyaAllah tabarakallah. Informasi yg sngat brmanfaat. Smoga ini bs mnjadi pintu rejeki buat sya yg habis ketipu online mall amazon 10jt lbih. Bismillah smoga berkah barokah. Aamiin.,,,,,
G141,"Lagi rame banget nih, ada smartphone resmi di Indonesia bernama INOI yang dibenamkan Malware TRIADA. Ngeri banget 🥲

Negatifnya: 
Pencurian Data Sensitif
Pembajakan Akun
Pengendalian Jarak Jauh
Modus Finansial Ilegal

Sumber: https://t.co/vA1ELxZK7i https://t.co/8gbY9PVMsx",,,,,
G142,sama broo gw jga kaya gitu gara² ade gw mencet link phising pas make hp gw dan itu trjadi di 2022 pdahal akun game gw ada di situ wkwk,,,,,
G143,klu anda ingin mengajari orang apa yg anda bisa anda juga harus berhati hati siapa tahu yg pingin belajar ternyata justru penipu yg berpura pura jd orang baik yg tertipu,,,,,
G144,Mau tanya bagi yg tau kemarin saya download gcam lewat link di chnnel yt gk sengaja download apk virus bukan gcm yg dicantumkan saya taunya pasa saya instal ada peringatan virus lalu langsung saya unistal apk tersebut tp saya masih takut virusnya masih ada dihp saya mohon pencerahannya 🙏,,,,,
G145,"JANGAN DIAM! 
Jika Data kalian bocor di edabu BPJS kesehatan - LAKUKAN INI!

Melanjutkan thread terkait kebocoran data yang kami bahas sebelumnya. Kita sebagai pengguna BPJS Kesehatan, harus bertindak. jangan diam saja.. 

Bookmark+RT untuk sebar kebaikan https://t.co/vRFxfbpWNY",,,,,
G146,"Coba bongkar mix parlay bang, judi bola",,,,,
G147,"Ini yg sebenarnya yg gw tunggu dari lu bang,,, karena judol di Indonesia ini sangat "" parah dan susah di hilangkan...good job ❤",,,,,
G148,"Bang saya ngklik apk. Mengatasnamakan max*mfood. Lazbon saya kebobol,masih untung dananya masuk ke rek saya. Hp yang kena virus penipu sudah saya reset, Sekarang saya sudah ganti hp tapi nomer masih yang kena hack. Apakah aman bang. Tolong di jawab bang 🙏. Sudah 2 bulan ini saya merasa was was terus.",,,,,
G149,Judi bisa menghancurkan segalanya,,,,,
G150,"Iman Mahlil menempelkan stiker QRIS palsu seorang diri di 38 masjid dan bank di Jakarta hingga Tangsel dan raup belasan juta dalam sepekan. Kini, ia pun ditangkap. https://t.co/uSn8PIAFv1",,,,,
G151,Kalo 5 panglima scammer tu deepfake ke?,,,,,
