sample_id,text,dim_beda,A_layer1,B_layer1,A_layer2,B_layer2,A_role,B_role,final_layer1,final_layer2,final_role,catatan_reviewer
G081,"@danawallet jangan smpe zonk gara2 qris palsu, good job dana👍",role,relevan,relevan,penipuan_ewallet_qris,penipuan_ewallet_qris,R3,R5,,,,
G082,Bang kalau pinjaman online bisa tidak,L1,relevan,tidak_relevan,judi_online_pinjol,,R1,,,,,
G087,ada gak jasa hack wa #zonauanh #zonaba,role,relevan,relevan,peretasan_pencurian_identitas,peretasan_pencurian_identitas,R4,R5,,,,
G088,"2/3 tahun lalu, aku sempet kena love scam yang menjanjikan aku dapet uang 3.400.000,00 usd dari orang Korea yang ngaku kerja di luar korea, aku lupa dimananya karena itu udah 2/3 tahun lalu Akhirnya aku yang bodoh ini main chat aja ke e-mail yang di share oleh si penipu dengan alasan akan berbicara dengan pihak bea cukai, dari pihak tersebut meminta uang tebusan 15 juta, lalu aku bilang ke dia kok ada pembayaran segala? Katanya alasan uangnya itu ditahan Bodohnya aku lagi aku tuh udah tau gak punya duit, malah ajuin pinjaman online waktu itu adakami😭, 4,2 juta aku tf ke dia, dan besoknya aku baru cari tau karena dia bener” maksa harus tf sesuai 15,2 juta… hampir aku mau minjem di bank😭 lalu iseng” nyari modus penipuan bea cukai, dan sumpah ini jangan kalian ladenin ya, untung aku gak sampe kasih ktp maupun no rek, alhamdulillaah udah terbayar pinjol ku di tahun berikutnya Terserah kalian mau katain aku bodoh, tapi kalo kalian ada di posisiku yang gak tau teknologi yang kaya gini Tolong hati” ya guys😢",L2 role,relevan,relevan,judi_online_pinjol,phishing_rekayasa_sosial,R1,R3,,,,
G089,"Pasang Stiker QRIS Palsu di Kotak Amal Masjid Nurul Iman, Ini Inisial Pelaku Bertubuh Tambun https://t.co/kb0tFeoagO",role,relevan,relevan,penipuan_ewallet_qris,penipuan_ewallet_qris,R2,R5,,,,
G090,kak kemarin saya nemu deep fake lu kak dari oknum yang ga bertanggung jawab sedang mempromosiin buku gw lupa judulnya,role,relevan,relevan,deepfake_penipuan_ai,deepfake_penipuan_ai,R3,R2,,,,
G093,Apakah kalo di ipone apk kiriman nya tdk bisa kedownlod?,L1,relevan,tidak_relevan,malware_apk,,R2,,,,,
G098,Polisi Tangkap Penukar Barcode QRIS Kotak Amal Masjid Istiqlal https://t.co/L8Ys0iwfMN,role,relevan,relevan,penipuan_ewallet_qris,penipuan_ewallet_qris,R5,R2,,,,
G099,Tpi knpa KLO akun demo gacor terus,L1,relevan,tidak_relevan,judi_online_pinjol,,R4,,,,,
G100,JUDI = KE'TOLOL'AN YANG HAQIQI,L1,relevan,tidak_relevan,judi_online_pinjol,,R5,,,,,
G105,"BRI terbaik, kreatif, senantiasa mengedukasi nasabah tanpa henti, waspada penipuan soceng mengintai kita setiap hari.",role,relevan,relevan,phishing_rekayasa_sosial,phishing_rekayasa_sosial,R2,R3,,,,
G108,@convomf Ada jasa hack akun gak?,role,relevan,relevan,peretasan_pencurian_identitas,peretasan_pencurian_identitas,R4,R5,,,,
G109,"Bang , gw baru saja kena tipu .. Dengan modus pinjam online via kirim pake qris .. Ini gimana bang",L2,relevan,relevan,phishing_rekayasa_sosial,penipuan_ewallet_qris,R1,R1,,,,
G111,"Bener arahnya ke social engineering, maenin psikologis kita",role,relevan,relevan,phishing_rekayasa_sosial,phishing_rekayasa_sosial,R3,R5,,,,
G113,Saya pecandu judol. Lebih buruk dari hancur. Hanya mereka yang hancur yang bisa merasakan apa yang saya rasakan. Konten ini bagaikan segalon es teh di Gurun Sahara. Lebih indah dari WD dengan modal kecil. Master Piece. Pesulap Merah dan Team.,role,relevan,relevan,judi_online_pinjol,judi_online_pinjol,R1,R4,,,,
