sample_id,unified_id,platform,source_category,vector_hint,weak_layer1,weak_layer2,weak_speaker_role,lm_confidence
G056,UID049083,YouTube,deepfake_penipuan_ai,phishing_rekayasa_sosial,relevan,phishing_rekayasa_sosial,R3,0.6302
G057,UID042648,YouTube,judi_online_pinjol,judi_online_pinjol,relevan,judi_online_pinjol,R2,1.0
G058,UID054008,X,penipuan_ewallet_qris,penipuan_ewallet_qris,relevan,penipuan_ewallet_qris,R2,0.8732
G059,UID034225,YouTube,judi_online_pinjol,judi_online_pinjol,relevan,judi_online_pinjol,R2,0.9997
G060,UID052230,YouTube,malware_apk,malware_apk,relevan,malware_apk,R2,0.8608
G061,UID045317,YouTube,judi_online_pinjol,judi_online_pinjol,relevan,judi_online_pinjol,R2,0.7561
G062,UID037642,YouTube,judi_online_pinjol,judi_online_pinjol,relevan,judi_online_pinjol,R2,0.7561
G063,UID054716,X,peretasan_pencurian_identitas,peretasan_pencurian_identitas,relevan,peretasan_pencurian_identitas,R4,0.7585
G064,UID037757,YouTube,judi_online_pinjol,judi_online_pinjol,relevan,judi_online_pinjol,R2,1.0
G065,UID046912,YouTube,judi_online_pinjol,judi_online_pinjol,relevan,judi_online_pinjol,R2,0.7561
G066,UID046012,YouTube,judi_online_pinjol,judi_online_pinjol,relevan,judi_online_pinjol,R2,0.7561
G067,UID023253,YouTube,phishing_rekayasa_sosial,,tidak_relevan,,,0.0
G068,UID018473,YouTube,peretasan_pencurian_identitas,peretasan_pencurian_identitas,relevan,peretasan_pencurian_identitas,R2,0.759
G069,UID050535,YouTube,malware_apk,malware_apk,relevan,malware_apk,R2,0.8609
G070,UID036181,YouTube,judi_online_pinjol,judi_online_pinjol,relevan,judi_online_pinjol,R2,0.7561
G071,UID001765,YouTube,deepfake_penipuan_ai,judi_online_pinjol,relevan,deepfake_penipuan_ai,R2,0.9759
G072,UID054399,X,peretasan_pencurian_identitas,peretasan_pencurian_identitas,relevan,peretasan_pencurian_identitas,R2,0.759
G073,UID002871,YouTube,deepfake_penipuan_ai,deepfake_penipuan_ai,relevan,deepfake_penipuan_ai,R2,0.9759
G074,UID003184,YouTube,deepfake_penipuan_ai,,tidak_relevan,,,0.0
G075,UID053490,X,deepfake_penipuan_ai,deepfake_penipuan_ai,relevan,deepfake_penipuan_ai,R2,0.9759
G076,UID000913,X,judi_online_pinjol,judi_online_pinjol,relevan,judi_online_pinjol,R2,1.0
G077,UID052018,YouTube,malware_apk,malware_apk,relevan,malware_apk,R5,0.8608
G078,UID028106,YouTube,phishing_rekayasa_sosial,deepfake_penipuan_ai,tidak_relevan,,,0.2619
G079,UID044120,YouTube,judi_online_pinjol,judi_online_pinjol,relevan,judi_online_pinjol,R2,0.7561
G080,UID043970,YouTube,judi_online_pinjol,judi_online_pinjol,relevan,judi_online_pinjol,R2,1.0
G081,UID000269,X,penipuan_ewallet_qris,penipuan_ewallet_qris,relevan,penipuan_ewallet_qris,R3,0.8732
G082,UID009619,YouTube,peretasan_pencurian_identitas,judi_online_pinjol,relevan,judi_online_pinjol,R2,1.0
G083,UID004202,YouTube,penipuan_ewallet_qris,,tidak_relevan,,,0.0
G084,UID000117,X,phishing_rekayasa_sosial,phishing_rekayasa_sosial,relevan,phishing_rekayasa_sosial,R3,0.9126
G085,UID001437,X,deepfake_penipuan_ai,,tidak_relevan,,,0.0
G086,UID025142,YouTube,phishing_rekayasa_sosial,,tidak_relevan,,,0.0
G087,UID054941,X,peretasan_pencurian_identitas,peretasan_pencurian_identitas,relevan,peretasan_pencurian_identitas,R4,0.7585
G088,UID002032,YouTube,deepfake_penipuan_ai,judi_online_pinjol,relevan,phishing_rekayasa_sosial,R3,0.6302
G089,UID053929,X,penipuan_ewallet_qris,penipuan_ewallet_qris,relevan,penipuan_ewallet_qris,R2,0.8732
G090,UID002645,YouTube,deepfake_penipuan_ai,deepfake_penipuan_ai,relevan,deepfake_penipuan_ai,R2,0.9759
G091,UID033583,YouTube,judi_online_pinjol,judi_online_pinjol,relevan,judi_online_pinjol,R2,0.7561
G092,UID053826,X,penipuan_ewallet_qris,penipuan_ewallet_qris,relevan,penipuan_ewallet_qris,R2,0.8732
G093,UID052472,YouTube,malware_apk,malware_apk,relevan,malware_apk,R2,0.8609
G094,UID054053,X,penipuan_ewallet_qris,penipuan_ewallet_qris,relevan,penipuan_ewallet_qris,R2,0.8732
G095,UID049233,YouTube,deepfake_penipuan_ai,deepfake_penipuan_ai,relevan,deepfake_penipuan_ai,R2,0.9759
G096,UID053235,YouTube,malware_apk,malware_apk,relevan,malware_apk,R2,0.8609
G097,UID043950,YouTube,judi_online_pinjol,judi_online_pinjol,relevan,judi_online_pinjol,R2,1.0
G098,UID054045,X,penipuan_ewallet_qris,penipuan_ewallet_qris,relevan,penipuan_ewallet_qris,R2,0.8732
G099,UID037925,YouTube,judi_online_pinjol,judi_online_pinjol,relevan,judi_online_pinjol,R2,0.9696
G100,UID035803,YouTube,judi_online_pinjol,judi_online_pinjol,relevan,judi_online_pinjol,R2,0.7561
G101,UID018053,YouTube,peretasan_pencurian_identitas,,tidak_relevan,,,0.0
G102,UID000070,X,phishing_rekayasa_sosial,phishing_rekayasa_sosial,relevan,phishing_rekayasa_sosial,R3,0.6302
G103,UID048610,YouTube,deepfake_penipuan_ai,,tidak_relevan,,,0.0
G104,UID054119,X,penipuan_ewallet_qris,penipuan_ewallet_qris,relevan,penipuan_ewallet_qris,R2,0.8732
G105,UID030447,YouTube,phishing_rekayasa_sosial,phishing_rekayasa_sosial,relevan,phishing_rekayasa_sosial,R3,0.9119
G106,UID004495,YouTube,penipuan_ewallet_qris,peretasan_pencurian_identitas,relevan,peretasan_pencurian_identitas,R2,0.7591
G107,UID003059,YouTube,deepfake_penipuan_ai,,tidak_relevan,,,0.0
G108,UID054759,X,peretasan_pencurian_identitas,peretasan_pencurian_identitas,relevan,peretasan_pencurian_identitas,R4,0.7585
G109,UID006757,YouTube,peretasan_pencurian_identitas,phishing_rekayasa_sosial,relevan,phishing_rekayasa_sosial,R2,0.6302
G110,UID025300,YouTube,phishing_rekayasa_sosial,,tidak_relevan,,,0.0
G111,UID052707,YouTube,malware_apk,phishing_rekayasa_sosial,relevan,phishing_rekayasa_sosial,R2,0.6986
G112,UID032085,YouTube,judi_online_pinjol,,tidak_relevan,,,0.0
G113,UID040414,YouTube,judi_online_pinjol,judi_online_pinjol,relevan,judi_online_pinjol,R2,1.0
G114,UID002443,YouTube,deepfake_penipuan_ai,judi_online_pinjol,relevan,deepfake_penipuan_ai,R2,0.9759
G115,UID039628,YouTube,judi_online_pinjol,judi_online_pinjol,relevan,judi_online_pinjol,R2,0.7561
G116,UID049387,YouTube,deepfake_penipuan_ai,deepfake_penipuan_ai,relevan,deepfake_penipuan_ai,R2,0.9759
G117,UID037544,YouTube,judi_online_pinjol,judi_online_pinjol,relevan,judi_online_pinjol,R2,0.7561
G118,UID054498,X,peretasan_pencurian_identitas,peretasan_pencurian_identitas,relevan,peretasan_pencurian_identitas,R2,0.759
G119,UID039350,YouTube,judi_online_pinjol,judi_online_pinjol,relevan,judi_online_pinjol,R2,1.0
G120,UID052796,YouTube,malware_apk,,tidak_relevan,,,0.0
G121,UID053863,X,penipuan_ewallet_qris,penipuan_ewallet_qris,relevan,penipuan_ewallet_qris,R2,0.8732
G122,UID034700,YouTube,judi_online_pinjol,judi_online_pinjol,relevan,judi_online_pinjol,R2,0.9997
G123,UID034458,YouTube,judi_online_pinjol,judi_online_pinjol,relevan,judi_online_pinjol,R2,1.0
G124,UID005383,YouTube,peretasan_pencurian_identitas,phishing_rekayasa_sosial,relevan,phishing_rekayasa_sosial,R2,0.6845
G125,UID002691,YouTube,deepfake_penipuan_ai,phishing_rekayasa_sosial,relevan,phishing_rekayasa_sosial,R3,0.9064
G126,UID001478,X,deepfake_penipuan_ai,deepfake_penipuan_ai,relevan,deepfake_penipuan_ai,R2,0.9759
G127,UID051481,YouTube,malware_apk,malware_apk,relevan,malware_apk,R2,0.8609
G128,UID011213,YouTube,peretasan_pencurian_identitas,phishing_rekayasa_sosial,relevan,phishing_rekayasa_sosial,R2,0.9064
G129,UID052184,YouTube,malware_apk,phishing_rekayasa_sosial,relevan,phishing_rekayasa_sosial,R5,0.9126
G130,UID036224,YouTube,judi_online_pinjol,judi_online_pinjol,relevan,judi_online_pinjol,R2,0.9997
G131,UID054117,X,penipuan_ewallet_qris,penipuan_ewallet_qris,relevan,penipuan_ewallet_qris,R2,0.8732
G132,UID042233,YouTube,judi_online_pinjol,,tidak_relevan,,,0.0
G133,UID036603,YouTube,judi_online_pinjol,judi_online_pinjol,relevan,judi_online_pinjol,R2,0.7561
G134,UID046871,YouTube,judi_online_pinjol,,tidak_relevan,,,0.0
G135,UID052924,YouTube,malware_apk,malware_apk,relevan,malware_apk,R2,0.8608
G136,UID047698,YouTube,judi_online_pinjol,judi_online_pinjol,relevan,judi_online_pinjol,R2,0.7561
G137,UID013226,YouTube,peretasan_pencurian_identitas,phishing_rekayasa_sosial,relevan,phishing_rekayasa_sosial,R3,0.9064
G138,UID033982,YouTube,judi_online_pinjol,judi_online_pinjol,relevan,judi_online_pinjol,R2,1.0
G139,UID047371,YouTube,judi_online_pinjol,judi_online_pinjol,relevan,judi_online_pinjol,R2,1.0
G140,UID022498,YouTube,malware_apk,phishing_rekayasa_sosial,relevan,phishing_rekayasa_sosial,R2,0.9164
G141,UID000525,X,malware_apk,malware_apk,relevan,peretasan_pencurian_identitas,R2,0.7591
G142,UID020857,YouTube,peretasan_pencurian_identitas,phishing_rekayasa_sosial,relevan,phishing_rekayasa_sosial,R2,0.6845
G143,UID015321,YouTube,peretasan_pencurian_identitas,phishing_rekayasa_sosial,relevan,phishing_rekayasa_sosial,R3,0.6302
G144,UID052599,YouTube,malware_apk,malware_apk,relevan,malware_apk,R2,0.9908
G145,UID054383,X,peretasan_pencurian_identitas,peretasan_pencurian_identitas,relevan,peretasan_pencurian_identitas,R3,0.759
G146,UID036830,YouTube,judi_online_pinjol,judi_online_pinjol,relevan,judi_online_pinjol,R2,0.7561
G147,UID043507,YouTube,judi_online_pinjol,judi_online_pinjol,relevan,judi_online_pinjol,R2,1.0
G148,UID050769,YouTube,malware_apk,malware_apk,relevan,malware_apk,R2,0.8608
G149,UID045499,YouTube,judi_online_pinjol,judi_online_pinjol,relevan,judi_online_pinjol,R2,0.7561
G150,UID053724,X,penipuan_ewallet_qris,penipuan_ewallet_qris,relevan,penipuan_ewallet_qris,R2,0.8732
G151,UID003251,YouTube,deepfake_penipuan_ai,deepfake_penipuan_ai,relevan,deepfake_penipuan_ai,R2,0.9759
G152,UID042177,YouTube,judi_online_pinjol,judi_online_pinjol,relevan,judi_online_pinjol,R2,1.0
G153,UID054440,X,peretasan_pencurian_identitas,peretasan_pencurian_identitas,relevan,peretasan_pencurian_identitas,R2,0.759
G154,UID032347,YouTube,judi_online_pinjol,judi_online_pinjol,relevan,judi_online_pinjol,R3,0.7561
G155,UID045387,YouTube,judi_online_pinjol,judi_online_pinjol,relevan,judi_online_pinjol,R2,1.0
G156,UID040835,YouTube,judi_online_pinjol,judi_online_pinjol,relevan,judi_online_pinjol,R2,1.0
G157,UID054038,X,penipuan_ewallet_qris,penipuan_ewallet_qris,relevan,penipuan_ewallet_qris,R3,0.8732
G158,UID053969,X,penipuan_ewallet_qris,penipuan_ewallet_qris,relevan,penipuan_ewallet_qris,R2,0.8732
G159,UID042941,YouTube,judi_online_pinjol,judi_online_pinjol,relevan,judi_online_pinjol,R2,0.9696
G160,UID002291,YouTube,deepfake_penipuan_ai,judi_online_pinjol,relevan,deepfake_penipuan_ai,R2,0.9759
G161,UID052646,YouTube,malware_apk,,tidak_relevan,,,0.0
G162,UID053680,X,penipuan_ewallet_qris,penipuan_ewallet_qris,relevan,penipuan_ewallet_qris,R2,0.8732
G163,UID001929,YouTube,deepfake_penipuan_ai,phishing_rekayasa_sosial,relevan,phishing_rekayasa_sosial,R2,0.6302
G164,UID051845,YouTube,malware_apk,phishing_rekayasa_sosial,relevan,peretasan_pencurian_identitas,R2,0.7591
G165,UID021612,YouTube,malware_apk,judi_online_pinjol,relevan,judi_online_pinjol,R2,0.7561
G166,UID009639,YouTube,peretasan_pencurian_identitas,,tidak_relevan,,,0.0
G167,UID050349,YouTube,malware_apk,,tidak_relevan,,,0.0
G168,UID044220,YouTube,judi_online_pinjol,,tidak_relevan,,,0.0
G169,UID053524,X,malware_apk,malware_apk,relevan,malware_apk,R3,0.8608
G170,UID053471,X,deepfake_penipuan_ai,deepfake_penipuan_ai,relevan,deepfake_penipuan_ai,R3,0.9759
G171,UID049763,YouTube,malware_apk,phishing_rekayasa_sosial,relevan,phishing_rekayasa_sosial,R2,0.6302
G172,UID004418,YouTube,penipuan_ewallet_qris,malware_apk,relevan,malware_apk,R2,0.8608
G173,UID000135,X,phishing_rekayasa_sosial,phishing_rekayasa_sosial,relevan,phishing_rekayasa_sosial,R3,0.6302
G174,UID022321,YouTube,malware_apk,malware_apk,relevan,malware_apk,R2,0.8608
G175,UID053883,X,penipuan_ewallet_qris,penipuan_ewallet_qris,relevan,penipuan_ewallet_qris,R2,0.8732
G176,UID037655,YouTube,judi_online_pinjol,judi_online_pinjol,relevan,judi_online_pinjol,R2,1.0
G177,UID034715,YouTube,judi_online_pinjol,judi_online_pinjol,relevan,judi_online_pinjol,R2,1.0
G178,UID051138,YouTube,malware_apk,malware_apk,relevan,malware_apk,R2,0.8608
G179,UID054906,X,peretasan_pencurian_identitas,peretasan_pencurian_identitas,relevan,peretasan_pencurian_identitas,R4,0.7585
G180,UID053911,X,penipuan_ewallet_qris,penipuan_ewallet_qris,relevan,penipuan_ewallet_qris,R2,0.8732
G181,UID023819,YouTube,phishing_rekayasa_sosial,phishing_rekayasa_sosial,relevan,phishing_rekayasa_sosial,R2,0.9119
G182,UID050784,YouTube,malware_apk,malware_apk,relevan,malware_apk,R2,0.8608
G183,UID051690,YouTube,malware_apk,malware_apk,relevan,malware_apk,R2,0.8608
G184,UID000278,X,penipuan_ewallet_qris,penipuan_ewallet_qris,relevan,penipuan_ewallet_qris,R2,0.8732
G185,UID020612,YouTube,peretasan_pencurian_identitas,,tidak_relevan,,,0.0
G186,UID004258,YouTube,penipuan_ewallet_qris,malware_apk,tidak_relevan,,,0.2626
G187,UID050717,YouTube,malware_apk,malware_apk,relevan,malware_apk,R2,0.8608
G188,UID048756,YouTube,deepfake_penipuan_ai,phishing_rekayasa_sosial,tidak_relevan,,,0.2761
G189,UID031472,YouTube,phishing_rekayasa_sosial,phishing_rekayasa_sosial,relevan,phishing_rekayasa_sosial,R2,0.6302
G190,UID009826,YouTube,peretasan_pencurian_identitas,phishing_rekayasa_sosial,tidak_relevan,,,0.2761
G191,UID050263,YouTube,malware_apk,malware_apk,relevan,malware_apk,R2,0.8608
G192,UID052444,YouTube,malware_apk,phishing_rekayasa_sosial,relevan,phishing_rekayasa_sosial,R2,0.6986
G193,UID051307,YouTube,malware_apk,malware_apk,relevan,malware_apk,R2,0.8608
G194,UID035064,YouTube,judi_online_pinjol,judi_online_pinjol,relevan,judi_online_pinjol,R2,1.0
G195,UID053658,X,penipuan_ewallet_qris,penipuan_ewallet_qris,relevan,penipuan_ewallet_qris,R2,0.8732
G196,UID054809,X,peretasan_pencurian_identitas,peretasan_pencurian_identitas,relevan,peretasan_pencurian_identitas,R4,0.7585
G197,UID027639,YouTube,phishing_rekayasa_sosial,,tidak_relevan,,,0.0
G198,UID040604,YouTube,judi_online_pinjol,,tidak_relevan,,,0.0
G199,UID054102,X,penipuan_ewallet_qris,penipuan_ewallet_qris,relevan,penipuan_ewallet_qris,R2,0.8732
G200,UID001998,YouTube,deepfake_penipuan_ai,deepfake_penipuan_ai,relevan,deepfake_penipuan_ai,R2,0.9759
G201,UID002696,YouTube,deepfake_penipuan_ai,deepfake_penipuan_ai,relevan,deepfake_penipuan_ai,R2,0.9759
G202,UID043587,YouTube,judi_online_pinjol,,tidak_relevan,,,0.0
G203,UID053951,X,penipuan_ewallet_qris,penipuan_ewallet_qris,relevan,penipuan_ewallet_qris,R2,0.8732
G204,UID035764,YouTube,judi_online_pinjol,judi_online_pinjol,relevan,judi_online_pinjol,R2,0.7561
G205,UID001918,YouTube,deepfake_penipuan_ai,deepfake_penipuan_ai,relevan,deepfake_penipuan_ai,R2,0.9759
G206,UID043898,YouTube,judi_online_pinjol,judi_online_pinjol,relevan,judi_online_pinjol,R2,1.0
G207,UID043624,YouTube,judi_online_pinjol,judi_online_pinjol,relevan,judi_online_pinjol,R2,0.9997
G208,UID053499,X,deepfake_penipuan_ai,deepfake_penipuan_ai,relevan,deepfake_penipuan_ai,R2,0.9759
G209,UID053654,X,penipuan_ewallet_qris,penipuan_ewallet_qris,relevan,penipuan_ewallet_qris,R2,0.8732
G210,UID054703,X,peretasan_pencurian_identitas,peretasan_pencurian_identitas,relevan,peretasan_pencurian_identitas,R4,0.7585
G211,UID053518,X,malware_apk,malware_apk,relevan,malware_apk,R2,0.8608
G212,UID053630,X,penipuan_ewallet_qris,penipuan_ewallet_qris,relevan,penipuan_ewallet_qris,R2,0.8732
G213,UID008557,YouTube,peretasan_pencurian_identitas,phishing_rekayasa_sosial,relevan,phishing_rekayasa_sosial,R2,0.6302
G214,UID053469,X,deepfake_penipuan_ai,deepfake_penipuan_ai,relevan,deepfake_penipuan_ai,R5,0.9759
G215,UID041538,YouTube,judi_online_pinjol,judi_online_pinjol,relevan,judi_online_pinjol,R2,0.7561
G216,UID018905,YouTube,peretasan_pencurian_identitas,,tidak_relevan,,,0.0
G217,UID043266,YouTube,judi_online_pinjol,judi_online_pinjol,relevan,judi_online_pinjol,R2,1.0
G218,UID049224,YouTube,deepfake_penipuan_ai,deepfake_penipuan_ai,relevan,deepfake_penipuan_ai,R2,0.9759
G219,UID045078,YouTube,judi_online_pinjol,judi_online_pinjol,relevan,judi_online_pinjol,R2,1.0
G220,UID054494,X,peretasan_pencurian_identitas,peretasan_pencurian_identitas,relevan,peretasan_pencurian_identitas,R2,0.759
G221,UID032737,YouTube,judi_online_pinjol,judi_online_pinjol,relevan,judi_online_pinjol,R2,1.0
G222,UID006598,YouTube,peretasan_pencurian_identitas,phishing_rekayasa_sosial,relevan,phishing_rekayasa_sosial,R2,0.6302
G223,UID000951,X,judi_online_pinjol,judi_online_pinjol,relevan,judi_online_pinjol,R2,1.0
G224,UID044427,YouTube,judi_online_pinjol,judi_online_pinjol,relevan,judi_online_pinjol,R2,1.0
G225,UID040457,YouTube,judi_online_pinjol,judi_online_pinjol,relevan,judi_online_pinjol,R2,1.0
G226,UID001875,YouTube,deepfake_penipuan_ai,phishing_rekayasa_sosial,relevan,phishing_rekayasa_sosial,R2,0.6302
G227,UID053938,X,penipuan_ewallet_qris,penipuan_ewallet_qris,relevan,penipuan_ewallet_qris,R2,0.8732
G228,UID001132,X,peretasan_pencurian_identitas,judi_online_pinjol,relevan,phishing_rekayasa_sosial,R2,0.6302
G229,UID054376,X,peretasan_pencurian_identitas,peretasan_pencurian_identitas,relevan,peretasan_pencurian_identitas,R3,0.759
G230,UID053844,X,penipuan_ewallet_qris,penipuan_ewallet_qris,relevan,penipuan_ewallet_qris,R2,0.8732
G231,UID052129,YouTube,malware_apk,malware_apk,relevan,malware_apk,R3,0.8608
G232,UID035409,YouTube,judi_online_pinjol,judi_online_pinjol,relevan,judi_online_pinjol,R2,0.7561
G233,UID003180,YouTube,deepfake_penipuan_ai,deepfake_penipuan_ai,relevan,deepfake_penipuan_ai,R2,0.9759
G234,UID044979,YouTube,judi_online_pinjol,judi_online_pinjol,relevan,judi_online_pinjol,R2,1.0
G235,UID007608,YouTube,peretasan_pencurian_identitas,malware_apk,tidak_relevan,,,0.2626
G236,UID049327,YouTube,deepfake_penipuan_ai,phishing_rekayasa_sosial,relevan,phishing_rekayasa_sosial,R2,0.6302
G237,UID054884,X,peretasan_pencurian_identitas,peretasan_pencurian_identitas,relevan,peretasan_pencurian_identitas,R4,0.7585
G238,UID054078,X,penipuan_ewallet_qris,penipuan_ewallet_qris,relevan,penipuan_ewallet_qris,R3,0.8732
G239,UID037170,YouTube,judi_online_pinjol,judi_online_pinjol,relevan,judi_online_pinjol,R2,0.7561
G240,UID038166,YouTube,judi_online_pinjol,judi_online_pinjol,relevan,judi_online_pinjol,R2,0.7561
G241,UID053470,X,deepfake_penipuan_ai,deepfake_penipuan_ai,relevan,deepfake_penipuan_ai,R2,0.9759
G242,UID001141,X,peretasan_pencurian_identitas,peretasan_pencurian_identitas,relevan,peretasan_pencurian_identitas,R3,0.759
G243,UID053649,X,penipuan_ewallet_qris,penipuan_ewallet_qris,relevan,penipuan_ewallet_qris,R3,0.8732
G244,UID033107,YouTube,judi_online_pinjol,judi_online_pinjol,relevan,judi_online_pinjol,R2,0.7561
G245,UID011760,YouTube,peretasan_pencurian_identitas,,tidak_relevan,,,0.0
G246,UID053666,X,penipuan_ewallet_qris,penipuan_ewallet_qris,relevan,penipuan_ewallet_qris,R2,0.8732
G247,UID053547,X,malware_apk,malware_apk,relevan,malware_apk,R2,0.8608
G248,UID045390,YouTube,judi_online_pinjol,,tidak_relevan,,,0.0
G249,UID038709,YouTube,judi_online_pinjol,judi_online_pinjol,relevan,judi_online_pinjol,R3,1.0
G250,UID036721,YouTube,judi_online_pinjol,judi_online_pinjol,relevan,judi_online_pinjol,R2,0.7561
G251,UID033617,YouTube,judi_online_pinjol,,tidak_relevan,,,0.0
G252,UID019615,YouTube,peretasan_pencurian_identitas,,tidak_relevan,,,0.0
G253,UID014701,YouTube,peretasan_pencurian_identitas,phishing_rekayasa_sosial,tidak_relevan,,,0.2761
